name,profile,position,class,height,weight,high_school,hometown,rating,nil_value,status,last_team,new_team
Quandre Bullock,https://www.on3.com/db/quandre-bullock-173932/,SG,SR,6-6,195,Word Of God Christian Academy,"(Franklinton, NC)",88.00,,Entered,South Dakota,
Rob Brown,https://www.on3.com/db/rob-brown-250156/,SG,SR,6-4,190,Kimball Union Academy,"(Albany, NY)",88.00,,Entered,Nicholls State,
Rob Wright,https://www.on3.com/db/rob-wright-155766/,PG,FR,6-1,180,Montverde Academy,"(Philadelphia, PA)",97.58,,Committed,Baylor,BYU Cougars
Robert Whaley,https://www.on3.com/db/robert-whaley-174474/,PF,SR,6-7,260,Bountiful,"(Farmington, UT)",,,Entered,UNLV,
Ron Jessamy,https://www.on3.com/db/ron-jessamy-158669/,PF,SO,6-8,200,Oak Hill Academy,"(Mouth Of Wilson, VA)",89.00,,Entered,Tennessee State,
Sekou Konneh,https://www.on3.com/db/sekou-konneh-236021/,PF,FR,6-6,230,St. Thomas More,"(Milwaukee, WI)",82.25,,Entered,DePaul,
Sir Issac Herron,https://www.on3.com/db/sir-issac-herron-107627/,C,RS-JR,6-9,210,Legacy School of Sports Sciences,"(Spring, TX)",,,Entered,Oral Roberts,
Smurf Millender,https://www.on3.com/db/smurf-millender-155450/,PG,SO,5-9,160,Clear Brook,"(Friendswood, TX)",89.00,,Entered,UTSA,
Stephon Marbury II,https://www.on3.com/db/stephon-marbury-ii-250462/,PG,FR,6-1,170,DME Academy,"(Purchase, NY)",,,Entered,California,
TJ Caldwell,https://www.on3.com/db/tj-caldwell-113077/,SG,JR,6-4,190,Waxahachie Faith Family Academy,"(Mansfield, TX)",89.00,,Entered,Ole Miss,
Teysean Eaglestaff,https://www.on3.com/db/teysean-eaglestaff-250252/,PF,FR,6-7,188,Bismarck,"(Eagle Butte, SD)",,,Entered,Missouri Kansas City,
Toby Harris,https://www.on3.com/db/toby-harris-250094/,SF,SR,6-8,,Durham Academy,"(Durham, NC)",89.00,,Committed,Brandeis,Iona Gaels
Todd Brogna,https://www.on3.com/db/todd-brogna-250263/,SF,SO,6-7,220,Worcester Academy,"(Southborough, MA)",,,Entered,Stonehill College,
Tyler Cochran,https://www.on3.com/db/tyler-cochran-117456/,CG,SR,6-2,220,Bolingbrook,"(Bolingbrook, IL)",87.00,,Entered,Minnesota,
Tyler Simon,https://www.on3.com/db/tyler-simon-118084/,CG,SR,6-4,180,Dream City Christian,"(Glendale, AZ)",,,Entered,Harvard,
Tyreek Smith,https://www.on3.com/db/tyreek-smith-118484/,PF,RS-SR,6-8,205,Trinity Leadership,"(Cedar Hill, TX)",90.96,,Committed,Memphis,Kansas State Wildcats
Tyrell Ward,https://www.on3.com/db/tyrell-ward-118605/,SG,JR,6-6,185,DeMatha Catholic,"(Hyattsville, MD)",89.94,,Committed,LSU,VCU Rams
Wes Enis,https://www.on3.com/db/wes-enis-250121/,PG,SO,6-2,200,Miami East,"(Conover, OH)",91.38,,Committed,Lincoln Memorial,USF Bulls
Wesley Rubin,https://www.on3.com/db/wesley-rubin-156412/,PF,FR,6-8,225,Simeon,"(Chicago, IL)",,,Entered,Northern Iowa,
Xander Alarie,https://www.on3.com/db/xander-alarie-244943/,SF,FR,6-8,195,St Andrews Episcopal School,"(Potomac, MD)",,,Committed,Miami,Northeastern Huskies
Xavier Thomas,https://www.on3.com/db/xavier-thomas-158664/,PF,SO,6-6,220,Brother Rice,"(Birmingham, MI)",,,Entered,Toledo,
Yanis Ndjonga,https://www.on3.com/db/yanis-ndjonga-237355/,PF,RS-SO,6-8,210,France,(Yaoundé),,,Entered,Baylor,
Yaya Keita,https://www.on3.com/db/yaya-keita-122344/,PF,RS-JR,6-9,240,DeSmet,"(Saint Louis, MO)",,,Entered,Oklahoma,
Zine Bedri,https://www.on3.com/db/zine-bedri-250123/,C,JR,6-10,235,DME Academy,(Tebessa),87.00,,Entered,Columbia,
