Name,ProfileURL,Position,Team,GP,GS,MPG,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,GP,GS,MPG,OREB,DREB,REB,RPG,GP,GS,AST,APG,TO,TOPG,A/TO,GP,GS,STL,SPG,GP,GS,BLK,BPG
Alex Andrews,https://www.cbssports.com/college-basketball/players/3177578/alex-andrews/,F,FAMU,1,0,1,0.0,0,0,—,0,0,—,0,0,—,1,0,1,0,0,0,0.0,1,0,0,0.0,0,0.0,—,1,0,0,0.00,1,0,0,0.00
Alex Chaikin,https://www.cbssports.com/college-basketball/players/29557005/alex-chaikin/,G,LAFAY,32,19,26.3,13.9,141,283,49.8,80,167,47.9,84,100,84.0,32,19,26.3,15,67,82,2.6,32,19,34,1.1,43,1.3,0.8,32,19,18,0.60,32,19,5,0.20
Alex Condon,https://www.cbssports.com/college-basketball/players/29234608/alex-condon/,F,FLA,37,35,25.1,10.6,135,274,49.3,19,58,32.8,102,169,60.4,37,35,25.1,103,176,279,7.5,37,35,82,2.2,51,1.4,1.6,37,35,32,0.90,37,35,49,1.30
Alex Cotton,https://www.cbssports.com/college-basketball/players/29233875/alex-cotton/,G,NTEXAS,3,0,6.7,1.7,2,2,100.0,1,1,100.0,0,0,—,3,0,6.7,3,0,3,1.0,3,0,1,0.3,1,0.3,1.0,3,0,1,0.30,3,0,0,0.00
Alex Crawford,https://www.cbssports.com/college-basketball/players/26778320/alex-crawford/,F,FRESNO,30,23,32.5,11.5,136,277,49.1,20,72,27.8,54,77,70.1,30,23,32.5,44,84,128,4.3,30,23,39,1.3,63,2.1,0.6,30,23,29,1.00,30,23,24,0.80
Alex Daniels,https://www.cbssports.com/college-basketball/players/29273177/alex-daniels/,G,AMER,3,0,7.7,1.3,1,6,16.7,1,3,33.3,1,2,50.0,3,0,7.7,0,0,0,0.0,3,0,1,0.3,1,0.3,1.0,3,0,2,0.70,3,0,0,0.00
Alex Doyle,https://www.cbssports.com/college-basketball/players/29235190/alex-doyle/,F,STETSON,20,0,8.8,2.0,16,43,37.2,8,28,28.6,0,0,—,20,0,8.8,6,14,20,1.0,20,0,7,0.4,6,0.3,1.2,20,0,6,0.30,20,0,4,0.20
Alex Engro,https://www.cbssports.com/college-basketball/players/29559600/alex-engro/,G,ARMY,2,0,1,1.0,0,0,—,0,0,—,2,4,50.0,2,0,1,1,0,1,0.5,2,0,1,0.5,1,0.5,1.0,2,0,1,0.50,2,0,0,0.00
Alex Holt,https://www.cbssports.com/college-basketball/players/26540697/alex-holt/,F,MERCER,33,31,26.9,11.4,153,261,58.6,1,1,100.0,68,111,61.3,33,31,26.9,91,135,226,6.8,33,31,40,1.2,37,1.1,1.1,33,31,30,0.90,33,31,22,0.70
Alex Huibregtse,https://www.cbssports.com/college-basketball/players/26540504/alex-huibregtse/,G,WRIGHT,32,32,33.8,13.5,153,362,42.3,90,240,37.5,35,44,79.5,32,32,33.8,12,87,99,3.1,32,32,100,3.1,51,1.6,2.0,32,32,21,0.70,32,32,7,0.20
Alex Karaban,https://www.cbssports.com/college-basketball/players/26887892/alex-karaban/,F,UCONN,33,33,35.8,14.3,161,368,43.8,68,196,34.7,82,99,82.8,33,33,35.8,54,120,174,5.3,33,33,92,2.8,43,1.3,2.1,33,33,19,0.60,33,33,51,1.50
Alex Koch,https://www.cbssports.com/college-basketball/players/29559897/alex-koch/,C,MERCER,3,0,4.7,3.3,3,4,75.0,0,0,—,4,8,50.0,3,0,4.7,3,4,7,2.3,3,0,0,0.0,1,0.3,0.0,3,0,1,0.30,3,0,0,0.00
