Name,ProfileURL,Position,Team,GP,GS,MPG,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,GP,GS,MPG,OREB,DREB,REB,RPG,GP,GS,AST,APG,TO,TOPG,A/TO,GP,GS,STL,SPG,GP,GS,BLK,BPG
Desmond Polk,https://www.cbssports.com/college-basketball/players/26541706/desmond-polk/,G,SIUE,34,34,29.5,6.2,83,231,35.9,33,120,27.5,12,28,42.9,34,34,29.5,29,82,111,3.3,34,34,36,1.1,35,1.0,1.0,34,34,29,0.90,34,34,11,0.30
Desmond Roberts,https://www.cbssports.com/college-basketball/players/29232912/desmond-roberts/,G,UVA,5,0,1.2,0.8,1,3,33.3,0,0,—,2,2,100.0,5,0,1.2,1,2,3,0.6,5,0,0,0.0,0,0.0,—,5,0,0,0.00,5,0,0,0.00
Deuce Jones,https://www.cbssports.com/college-basketball/players/29555739/deuce-jones/,G,LSALLE,33,20,28.8,12.5,135,340,39.7,26,78,33.3,115,156,73.7,33,20,28.8,29,110,139,4.2,33,20,93,2.8,83,2.5,1.1,33,20,53,1.60,33,20,13,0.40
Deuce Turner,https://www.cbssports.com/college-basketball/players/26547721/deuce-turner/,G,UCSB,34,3,19.4,9.6,113,273,41.4,43,136,31.6,57,68,83.8,34,3,19.4,3,59,62,1.8,34,3,48,1.4,44,1.3,1.1,34,3,18,0.50,34,3,2,0.10
Devan Cambridge,https://www.cbssports.com/college-basketball/players/3147980/devan-cambridge/,F,TXTECH,6,2,17.5,5.5,13,22,59.1,4,7,57.1,3,4,75.0,6,2,17.5,7,14,21,3.5,6,2,2,0.3,6,1.0,0.3,6,2,2,0.30,6,2,0,0.00
Devan Sapp,https://www.cbssports.com/college-basketball/players/28952651/devan-sapp/,G,UMBC,31,6,12,3.9,44,116,37.9,23,74,31.1,9,11,81.8,31,6,12,9,28,37,1.2,31,6,16,0.5,17,0.5,0.9,31,6,8,0.30,31,6,0,0.00
Devean Williams,https://www.cbssports.com/college-basketball/players/28954136/devean-williams/,G,BRYANT,1,0,16,6.0,3,4,75.0,0,0,—,0,2,0.0,1,0,16,0,2,2,2.0,1,0,1,1.0,3,3.0,0.3,1,0,1,1.00,1,0,1,1.00
Deven Dahlke,https://www.cbssports.com/college-basketball/players/26535928/deven-dahlke/,G,USD,33,19,19.4,5.4,57,127,44.9,28,78,35.9,35,44,79.5,33,19,19.4,13,29,42,1.3,33,19,41,1.2,37,1.1,1.1,33,19,34,1.00,33,19,3,0.10
Devin Askew,https://www.cbssports.com/college-basketball/players/3177587/devin-askew/,G,LNGBCH,32,32,36.1,18.9,194,484,40.1,68,181,37.6,148,167,88.6,32,32,36.1,7,140,147,4.6,32,32,143,4.5,117,3.7,1.2,32,32,49,1.50,32,32,3,0.10
Devin Brafford,https://www.cbssports.com/college-basketball/players/29558112/devin-brafford/,C,SIENA,20,12,14.3,4.7,37,74,50.0,8,32,25.0,12,19,63.2,20,12,14.3,15,38,53,2.7,20,12,14,0.7,12,0.6,1.2,20,12,7,0.40,20,12,24,1.20
Devin Carney,https://www.cbssports.com/college-basketball/players/28953443/devin-carney/,G,DENVER,10,0,2.3,0.4,2,11,18.2,0,6,0.0,0,0,—,10,0,2.3,1,0,1,0.1,10,0,1,0.1,0,0.0,—,10,0,1,0.10,10,0,0,0.00
Devin Ceaser,https://www.cbssports.com/college-basketball/players/28955597/devin-ceaser/,G,ODU,12,0,20.6,11.5,54,138,39.1,11,41,26.8,19,26,73.1,12,0,20.6,4,26,30,2.5,12,0,10,0.8,14,1.2,0.7,12,0,9,0.80,12,0,0,0.00
Devin Curtis,https://www.cbssports.com/college-basketball/players/29234248/devin-curtis/,F,CAL,6,0,3,1.0,1,2,50.0,1,1,100.0,3,3,100.0,6,0,3,1,2,3,0.5,6,0,1,0.2,0,0.0,—,6,0,0,0.00,6,0,0,0.00
Devin Dinkins,https://www.cbssports.com/college-basketball/players/28951922/devin-dinkins/,G,MANH,31,1,30.9,13.6,115,267,43.1,64,146,43.8,128,146,87.7,31,1,30.9,19,59,78,2.5,31,1,82,2.6,49,1.6,1.7,31,1,24,0.80,31,1,1,0.00
Devin Haid,https://www.cbssports.com/college-basketball/players/29556141/devin-haid/,G,CCTST,32,30,27.7,14.2,165,335,49.3,41,129,31.8,83,98,84.7,32,30,27.7,34,146,180,5.6,32,30,67,2.1,58,1.8,1.2,32,30,51,1.60,32,30,13,0.40
Devin Hines,https://www.cbssports.com/college-basketball/players/26776745/devin-hines/,G,LAFAY,8,8,22.4,9.9,30,75,40.0,9,35,25.7,10,20,50.0,8,8,22.4,8,26,34,4.3,8,8,11,1.4,13,1.6,0.8,8,8,2,0.30,8,8,1,0.10
Devin McGlockton,https://www.cbssports.com/college-basketball/players/26775734/devin-mcglockton/,F,VANDY,33,33,25.1,10.3,138,243,56.8,26,77,33.8,38,57,66.7,33,33,25.1,103,157,260,7.9,33,33,32,1.0,28,0.8,1.1,33,33,25,0.80,33,33,36,1.10
Devin Ree,https://www.cbssports.com/college-basketball/players/28953338/devin-ree/,G,LATECH,29,19,16.4,4.1,39,113,34.5,21,77,27.3,19,23,82.6,29,19,16.4,19,64,83,2.9,29,19,11,0.4,18,0.6,0.6,29,19,6,0.20,29,19,5,0.20
Devin Royal,https://www.cbssports.com/college-basketball/players/29233815/devin-royal/,F,OHIOST,31,27,28.8,13.7,147,280,52.5,16,58,27.6,115,149,77.2,31,27,28.8,69,146,215,6.9,31,27,34,1.1,53,1.7,0.6,31,27,27,0.90,31,27,8,0.30
Devin Tillis,https://www.cbssports.com/college-basketball/players/3177471/devin-tillis/,F,UCIRV,38,38,29.7,13.7,197,368,53.5,49,124,39.5,76,93,81.7,38,38,29.7,62,234,296,7.8,38,38,93,2.4,61,1.6,1.5,38,38,28,0.70,38,38,7,0.20
Devin Vanterpool,https://www.cbssports.com/college-basketball/players/29234061/devin-vanterpool/,G,FAU,30,0,7.8,2.0,19,56,33.9,8,32,25.0,14,18,77.8,30,0,7.8,10,22,32,1.1,30,0,14,0.5,15,0.5,0.9,30,0,9,0.30,30,0,6,0.20
Devon Arlington,https://www.cbssports.com/college-basketball/players/28955516/devon-arlington/,G,YALE,14,0,5.4,0.9,3,14,21.4,2,3,66.7,5,8,62.5,14,0,5.4,1,6,7,0.5,14,0,6,0.4,5,0.4,1.2,14,0,5,0.40,14,0,2,0.10
Devon Barnes,https://www.cbssports.com/college-basketball/players/29251150/devon-barnes/,G,UTEP,33,27,25.2,9.9,96,263,36.5,49,142,34.5,86,118,72.9,33,27,25.2,8,61,69,2.1,33,27,66,2.0,32,1.0,2.1,33,27,52,1.60,33,27,5,0.20
Devon Ellis,https://www.cbssports.com/college-basketball/players/29231877/devon-ellis/,F,VALPO,27,8,12.1,4.8,46,107,43.0,3,11,27.3,34,50,68.0,27,8,12.1,22,47,69,2.6,27,8,5,0.2,19,0.7,0.3,27,8,6,0.20,27,8,8,0.30
Devon Hancock,https://www.cbssports.com/college-basketball/players/3178574/devon-hancock/,G,LAMON,8,0,12.3,5.4,14,36,38.9,5,18,27.8,10,13,76.9,8,0,12.3,4,9,13,1.6,8,0,6,0.8,7,0.9,0.9,8,0,6,0.80,8,0,0,0.00
Devon Pryor,https://www.cbssports.com/college-basketball/players/29234124/devon-pryor/,F,TEXAS,23,2,12.1,3.2,29,56,51.8,3,16,18.8,13,16,81.3,23,2,12.1,18,27,45,2.0,23,2,11,0.5,8,0.3,1.4,23,2,6,0.30,23,2,2,0.10
Devon Savage,https://www.cbssports.com/college-basketball/players/26778335/devon-savage/,G,MERMAK,33,33,30.5,9.0,104,274,38.0,77,226,34.1,11,14,78.6,33,33,30.5,18,92,110,3.3,33,33,11,0.3,20,0.6,0.6,33,33,43,1.30,33,33,17,0.50
Devontae Blanton,https://www.cbssports.com/college-basketball/players/3178108/devontae-blanton/,G,EKY,32,32,34.6,16.9,224,518,43.2,16,60,26.7,76,114,66.7,32,32,34.6,68,130,198,6.2,32,32,148,4.6,75,2.3,2.0,32,32,37,1.20,32,32,4,0.10
Dexter Akanno,https://www.cbssports.com/college-basketball/players/3142423/dexter-akanno/,G,UTAHST,34,13,24.9,8.1,90,198,45.5,50,118,42.4,46,61,75.4,34,13,24.9,30,80,110,3.2,34,13,33,1.0,25,0.7,1.3,34,13,22,0.60,34,13,0,0.00
Deyton Albury,https://www.cbssports.com/college-basketball/players/29230866/deyton-albury/,G,UTAHST,34,23,18.7,7.8,92,168,54.8,13,30,43.3,68,99,68.7,34,23,18.7,24,62,86,2.5,34,23,58,1.7,37,1.1,1.6,34,23,30,0.90,34,23,4,0.10
Deywilk Tavarez,https://www.cbssports.com/college-basketball/players/29246479/deywilk-tavarez/,G,CHARLS,27,23,27.4,12.9,117,283,41.3,66,159,41.5,49,72,68.1,27,23,27.4,8,88,96,3.6,27,23,68,2.5,64,2.4,1.1,27,23,29,1.10,27,23,0,0.00
Dez White,https://www.cbssports.com/college-basketball/players/29234175/dez-white/,G,MOST,31,31,34.3,14.0,138,360,38.3,78,210,37.1,79,96,82.3,31,31,34.3,10,78,88,2.8,31,31,79,2.5,48,1.5,1.6,31,31,31,1.00,31,31,8,0.30
Dezayne Mingo,https://www.cbssports.com/college-basketball/players/29558781/dezayne-mingo/,G,MRSHL,31,30,33.3,12.6,136,324,42.0,24,74,32.4,96,132,72.7,31,30,33.3,17,130,147,4.7,31,30,162,5.2,82,2.6,2.0,31,30,24,0.80,31,30,3,0.10
Dezmond McKinney,https://www.cbssports.com/college-basketball/players/3178397/dezmond-mckinney/,G,BELLAR,28,3,12.1,4.4,43,86,50.0,3,7,42.9,35,40,87.5,28,3,12.1,10,42,52,1.9,28,3,34,1.2,26,0.9,1.3,28,3,18,0.60,28,3,2,0.10
Dhiaukuei Manyiel Dut,https://www.cbssports.com/college-basketball/players/29234599/dhiaukuei-manyiel-dut/,F,GAST,9,0,5.9,1.1,4,10,40.0,1,4,25.0,1,2,50.0,9,0,5.9,5,6,11,1.2,9,0,1,0.1,4,0.4,0.3,9,0,0,0.00,9,0,1,0.10
Di'Andre Howell-South,https://www.cbssports.com/college-basketball/players/26807989/diandre-howell-south/,G,WAGNER,25,13,13.9,3.2,30,90,33.3,6,25,24.0,14,22,63.6,25,13,13.9,11,44,55,2.2,25,13,28,1.1,26,1.0,1.1,25,13,24,1.00,25,13,2,0.10
Dian Wright-Forde,https://www.cbssports.com/college-basketball/players/29232081/dian-wright-forde/,G,TXAMCC,30,3,15.9,6.4,67,147,45.6,9,30,30.0,49,75,65.3,30,3,15.9,7,31,38,1.3,30,3,45,1.5,31,1.0,1.5,30,3,24,0.80,30,3,2,0.10
Diante Smith,https://www.cbssports.com/college-basketball/players/3142493/diante-smith/,F,TXARL,21,7,20.5,8.2,61,144,42.4,31,88,35.2,19,22,86.4,21,7,20.5,22,48,70,3.3,21,7,29,1.4,35,1.7,0.8,21,7,10,0.50,21,7,9,0.40
Diego Campisano,https://www.cbssports.com/college-basketball/players/26778878/diego-campisano/,F,NAU,30,10,17.1,7.1,74,172,43.0,38,102,37.3,26,31,83.9,30,10,17.1,29,41,70,2.3,30,10,17,0.6,18,0.6,0.9,30,10,10,0.30,30,10,1,0.00
Dieonte Miles,https://www.cbssports.com/college-basketball/players/3141890/dieonte-miles/,F,MOREHD,23,13,23.2,6.4,54,122,44.3,0,1,0.0,40,74,54.1,23,13,23.2,43,73,116,5.0,23,13,15,0.7,20,0.9,0.8,23,13,9,0.40,23,13,24,1.00
Dilen Miller,https://www.cbssports.com/college-basketball/players/29559765/dilen-miller/,G,ROBERT,25,0,12,2.5,18,74,24.3,11,52,21.2,16,17,94.1,25,0,12,2,24,26,1.0,25,0,25,1.0,16,0.6,1.6,25,0,20,0.80,25,0,0,0.00
Dillan Baker,https://www.cbssports.com/college-basketball/players/29557035/dillan-baker/,G,NAU,33,2,13.2,3.2,38,106,35.8,18,65,27.7,12,16,75.0,33,2,13.2,16,43,59,1.8,33,2,14,0.4,25,0.8,0.6,33,2,8,0.20,33,2,2,0.10
Dillon Bailey,https://www.cbssports.com/college-basketball/players/29232477/dillon-bailey/,G,WOFF,35,35,28.1,11.1,114,280,40.7,66,193,34.2,93,113,82.3,35,35,28.1,25,61,86,2.5,35,35,51,1.5,50,1.4,1.0,35,35,26,0.70,35,35,1,0.00
Dillon Battie,https://www.cbssports.com/college-basketball/players/29555622/dillon-battie/,F,TEMPLE,20,1,7.9,3.6,28,41,68.3,1,5,20.0,15,22,68.2,20,1,7.9,15,20,35,1.8,20,1,3,0.2,2,0.1,1.5,20,1,3,0.20,20,1,5,0.30
Dillon Hunter,https://www.cbssports.com/college-basketball/players/28952738/dillon-hunter/,G,CLEM,30,9,22.5,5.4,57,141,40.4,24,77,31.2,24,39,61.5,30,9,22.5,13,63,76,2.5,30,9,58,1.9,14,0.5,4.1,30,9,27,0.90,30,9,4,0.10
Dillon Mitchell,https://www.cbssports.com/college-basketball/players/28955183/dillon-mitchell/,F,CINCY,35,35,28.1,9.9,153,250,61.2,10,34,29.4,30,76,39.5,35,35,28.1,73,166,239,6.8,35,35,61,1.7,42,1.2,1.5,35,35,48,1.40,35,35,22,0.60
Dillon Tingler,https://www.cbssports.com/college-basketball/players/29559009/dillon-tingler/,G,EMICH,32,5,12,1.3,13,35,37.1,5,18,27.8,10,15,66.7,32,5,12,14,39,53,1.7,32,5,21,0.7,9,0.3,2.3,32,5,16,0.50,32,5,3,0.10
Dillon Wilhite,https://www.cbssports.com/college-basketball/players/26775857/dillon-wilhite/,F,KANSAS,5,0,2.8,1.2,3,3,100.0,0,0,—,0,0,—,5,0,2.8,1,1,2,0.4,5,0,0,0.0,1,0.2,0.0,5,0,1,0.20,5,0,0,0.00
Diogo Seixas,https://www.cbssports.com/college-basketball/players/29232882/diogo-seixas/,G,CARK,33,6,16.5,3.0,33,107,30.8,9,52,17.3,25,47,53.2,33,6,16.5,13,63,76,2.3,33,6,28,0.8,37,1.1,0.8,33,6,14,0.40,33,6,1,0.00
Dion Brown,https://www.cbssports.com/college-basketball/players/28953560/dion-brown/,G,BC,31,29,25.7,7.5,96,216,44.4,21,60,35.0,20,27,74.1,31,29,25.7,51,70,121,3.9,31,29,45,1.5,31,1.0,1.5,31,29,19,0.60,31,29,1,0.00
Dionjahe Thomas,https://www.cbssports.com/college-basketball/players/28954253/dionjahe-thomas/,C,STHRN,32,23,15.5,6.1,66,124,53.2,1,5,20.0,62,87,71.3,32,23,15.5,59,92,151,4.7,32,23,8,0.3,35,1.1,0.2,32,23,12,0.40,32,23,14,0.40
Dionte Bostick,https://www.cbssports.com/college-basketball/players/26541769/dionte-bostick/,G,NMEXST,32,22,22.5,6.5,74,188,39.4,16,61,26.2,45,81,55.6,32,22,22.5,26,77,103,3.2,32,22,54,1.7,41,1.3,1.3,32,22,36,1.10,32,22,4,0.10
Dionte Johnson,https://www.cbssports.com/college-basketball/players/28953986/dionte-johnson/,G,NCCU,32,29,19.3,6.0,69,170,40.6,10,46,21.7,44,59,74.6,32,29,19.3,24,53,77,2.4,32,29,120,3.8,64,2.0,1.9,32,29,38,1.20,32,29,1,0.00
Dior Conners,https://www.cbssports.com/college-basketball/players/29555718/dior-conners/,G,APPST,31,26,28.2,8.0,82,201,40.8,65,162,40.1,19,25,76.0,31,26,28.2,4,51,55,1.8,31,26,30,1.0,23,0.7,1.3,31,26,13,0.40,31,26,1,0.00
Dior Johnson,https://www.cbssports.com/college-basketball/players/28954466/dior-johnson/,G,UCF,35,0,8.5,2.9,39,85,45.9,7,23,30.4,18,20,90.0,35,0,8.5,6,29,35,1.0,35,0,29,0.8,20,0.6,1.5,35,0,10,0.30,35,0,0,0.00
Dishon Jackson,https://www.cbssports.com/college-basketball/players/3178185/dishon-jackson/,C,IOWAST,35,33,18.7,8.5,101,174,58.0,0,1,0.0,95,132,72.0,35,33,18.7,69,108,177,5.1,35,33,22,0.6,37,1.1,0.6,35,33,17,0.50,35,33,37,1.10
Divine Ugochukwu,https://www.cbssports.com/college-basketball/players/29557188/divine-ugochukwu/,G,MIAMI,28,16,20.2,5.3,56,116,48.3,6,34,17.6,29,46,63.0,28,16,20.2,10,42,52,1.9,28,16,64,2.3,45,1.6,1.4,28,16,29,1.00,28,16,3,0.10
Djahi Binet,https://www.cbssports.com/college-basketball/players/29233569/djahi-binet/,F,ALCORN,31,29,25.5,9.5,117,212,55.2,0,0,—,60,95,63.2,31,29,25.5,104,131,235,7.6,31,29,12,0.4,55,1.8,0.2,31,29,18,0.60,31,29,21,0.70
Dji Bailey,https://www.cbssports.com/college-basketball/players/26542879/dji-bailey/,G,LSU,32,32,31.3,8.2,102,203,50.2,18,70,25.7,40,61,65.6,32,32,31.3,50,87,137,4.3,32,32,72,2.3,51,1.6,1.4,32,32,40,1.30,32,32,3,0.10
Djordje Curcic,https://www.cbssports.com/college-basketball/players/29231856/djordje-curcic/,G,CHARLS,23,1,9.3,2.2,16,48,33.3,13,42,31.0,5,6,83.3,23,1,9.3,1,17,18,0.8,23,1,5,0.2,2,0.1,2.5,23,1,6,0.30,23,1,0,0.00
Doctor Bradley,https://www.cbssports.com/college-basketball/players/3141638/doctor-bradley/,F,ARKPB,18,18,35.3,19.6,129,230,56.1,5,13,38.5,90,193,46.6,18,18,35.3,36,135,171,9.5,18,18,81,4.5,61,3.4,1.3,18,18,51,2.80,18,18,18,1.00
Dok Muordar,https://www.cbssports.com/college-basketball/players/28953080/dok-muordar/,C,MNMTH,31,23,15,3.7,42,77,54.5,0,0,—,30,38,78.9,31,23,15,39,68,107,3.5,31,23,11,0.4,17,0.5,0.6,31,23,9,0.30,31,23,43,1.40
Dola Adebayo,https://www.cbssports.com/college-basketball/players/26779269/dola-adebayo/,F,MOUNT,36,36,29.1,13.2,175,340,51.5,22,72,30.6,104,141,73.8,36,36,29.1,71,178,249,6.9,36,36,37,1.0,82,2.3,0.5,36,36,32,0.90,36,36,38,1.10
Dom Campbell,https://www.cbssports.com/college-basketball/players/28956002/dom-campbell/,F,HOW,8,3,15,6.1,18,31,58.1,0,0,—,13,21,61.9,8,3,15,13,19,32,4.0,8,3,9,1.1,13,1.6,0.7,8,3,4,0.50,8,3,0,0.00
Dom Payne,https://www.cbssports.com/college-basketball/players/29559225/dom-payne/,G,LONGWD,4,0,2,0.5,1,2,50.0,0,0,—,0,0,—,4,0,2,0,3,3,0.8,4,0,0,0.0,0,0.0,—,4,0,0,0.00,4,0,0,0.00
Domas Kauzonas,https://www.cbssports.com/college-basketball/players/29233140/domas-kauzonas/,F,NCGRN,13,0,6.4,1.8,11,22,50.0,0,0,—,1,2,50.0,13,0,6.4,8,22,30,2.3,13,0,5,0.4,3,0.2,1.7,13,0,4,0.30,13,0,2,0.20
Domenic Malvey,https://www.cbssports.com/college-basketball/players/29565719/domenic-malvey/,G,NH,3,0,1.3,0.0,0,0,—,0,0,—,0,0,—,3,0,1.3,0,1,1,0.3,3,0,0,0.0,0,0.0,—,3,0,0,0.00,3,0,0,0.00
Dominic Capriotti,https://www.cbssports.com/college-basketball/players/28952795/dominic-capriotti/,G,BING,4,0,3.5,0.0,0,3,0.0,0,2,0.0,0,0,—,4,0,3.5,1,1,2,0.5,4,0,0,0.0,1,0.3,0.0,4,0,0,0.00,4,0,0,0.00
Dominic Commisso,https://www.cbssports.com/college-basketball/players/29234130/dominic-commisso/,F,CIT,15,0,5.4,1.2,9,16,56.3,0,0,—,0,2,0.0,15,0,5.4,9,8,17,1.1,15,0,2,0.1,1,0.1,2.0,15,0,0,0.00,15,0,4,0.30
Dominic Gooden,https://www.cbssports.com/college-basketball/players/29557110/dominic-gooden/,G,NILL,6,0,11.8,3.7,5,17,29.4,2,8,25.0,10,12,83.3,6,0,11.8,2,9,11,1.8,6,0,5,0.8,6,1.0,0.8,6,0,4,0.70,6,0,0,0.00
Dominic Muncey,https://www.cbssports.com/college-basketball/players/26804666/dominic-muncey/,G,USD,20,8,6.9,0.4,2,16,12.5,2,14,14.3,1,2,50.0,20,8,6.9,5,6,11,0.6,20,8,6,0.3,2,0.1,3.0,20,8,5,0.30,20,8,0,0.00
Dominic Pangonis,https://www.cbssports.com/college-basketball/players/29558424/dominic-pangonis/,G,SFA,31,1,21.3,6.2,68,151,45.0,17,63,27.0,39,62,62.9,31,1,21.3,22,35,57,1.8,31,1,46,1.5,37,1.2,1.2,31,1,19,0.60,31,1,8,0.30
Dominick Harris,https://www.cbssports.com/college-basketball/players/3177446/dominick-harris/,G,UCLA,11,0,7.2,1.1,4,26,15.4,2,18,11.1,2,2,100.0,11,0,7.2,2,5,7,0.6,11,0,1,0.1,3,0.3,0.3,11,0,4,0.40,11,0,0,0.00
Dominick Nelson,https://www.cbssports.com/college-basketball/players/29559324/dominick-nelson/,G,UTVALL,34,34,29.9,14.4,152,349,43.6,22,87,25.3,163,237,68.8,34,34,29.9,24,152,176,5.2,34,34,58,1.7,77,2.3,0.8,34,34,29,0.90,34,34,24,0.70
Dominick Stewart,https://www.cbssports.com/college-basketball/players/29555673/dominick-stewart/,G,PSU,24,0,8.2,2.8,25,67,37.3,11,38,28.9,6,11,54.5,24,0,8.2,9,17,26,1.1,24,0,10,0.4,16,0.7,0.6,24,0,12,0.50,24,0,2,0.10
Dominique Daniels Jr.,https://www.cbssports.com/college-basketball/players/29266177/dominique-daniels-jr/,G,CALBPTST,29,29,35.1,19.6,196,526,37.3,48,186,25.8,127,157,80.9,29,29,35.1,17,51,68,2.3,29,29,90,3.1,56,1.9,1.6,29,29,32,1.10,29,29,1,0.00
Dominique Ford,https://www.cbssports.com/college-basketball/players/28955882/dominique-ford/,G,SUTAH,25,24,26.8,14.5,122,291,41.9,49,153,32.0,69,77,89.6,25,24,26.8,15,55,70,2.8,25,24,35,1.4,37,1.5,0.9,25,24,24,1.00,25,24,2,0.10
Don Douglass,https://www.cbssports.com/college-basketball/players/29230977/don-douglass/,F,WOFF,6,0,2.8,1.5,4,10,40.0,0,1,0.0,1,2,50.0,6,0,2.8,5,2,7,1.2,6,0,1,0.2,1,0.2,1.0,6,0,0,0.00,6,0,1,0.20
Don McHenry,https://www.cbssports.com/college-basketball/players/29234887/don-mchenry/,G,WKY,32,28,29,17.0,181,458,39.5,65,209,31.1,117,143,81.8,32,28,29,21,85,106,3.3,32,28,55,1.7,46,1.4,1.2,32,28,46,1.40,32,28,2,0.10
Donald Hand Jr.,https://www.cbssports.com/college-basketball/players/28955360/donald-hand-jr/,G,BC,31,31,33,15.7,141,374,37.7,70,190,36.8,136,159,85.5,31,31,33,30,159,189,6.1,31,31,39,1.3,44,1.4,0.9,31,31,20,0.60,31,31,6,0.20
Donavan Yap,https://www.cbssports.com/college-basketball/players/3177837/donavan-yap/,G,SJST,34,34,30.1,10.1,112,282,39.7,53,149,35.6,68,80,85.0,34,34,30.1,15,74,89,2.6,34,34,96,2.8,58,1.7,1.7,34,34,33,1.00,34,34,2,0.10
Donavin Young,https://www.cbssports.com/college-basketball/players/29558604/donavin-young/,F,STNFRD,19,16,17.2,3.2,22,48,45.8,12,22,54.5,5,6,83.3,19,16,17.2,20,28,48,2.5,19,16,2,0.1,8,0.4,0.3,19,16,10,0.50,19,16,8,0.40
Donnie Freeman,https://www.cbssports.com/college-basketball/players/29559837/donnie-freeman/,F,CUSE,14,13,25.3,13.4,68,135,50.4,12,36,33.3,39,49,79.6,14,13,25.3,15,96,111,7.9,14,13,19,1.4,25,1.8,0.8,14,13,5,0.40,14,13,5,0.40
Donovan Atwell,https://www.cbssports.com/college-basketball/players/28954682/donovan-atwell/,G,NCGRN,32,32,29.3,13.3,141,351,40.2,96,241,39.8,48,53,90.6,32,32,29.3,34,75,109,3.4,32,32,27,0.8,40,1.3,0.7,32,32,19,0.60,32,32,5,0.20
Donovan Dent,https://www.cbssports.com/college-basketball/players/28953005/donovan-dent/,G,NMEX,35,35,35.3,20.4,255,520,49.0,27,66,40.9,178,227,78.4,35,35,35.3,13,69,82,2.3,35,35,224,6.4,108,3.1,2.1,35,35,48,1.40,35,35,30,0.90
Donovan Draper,https://www.cbssports.com/college-basketball/players/29246476/donovan-draper/,F,NAVY,34,33,28.4,8.4,102,238,42.9,22,75,29.3,60,75,80.0,34,33,28.4,85,193,278,8.2,34,33,71,2.1,59,1.7,1.2,34,33,52,1.50,34,33,22,0.60
Donovan Hunter,https://www.cbssports.com/college-basketball/players/29235157/donovan-hunter/,F,KENTST,10,0,4.1,1.3,5,18,27.8,3,13,23.1,0,0,—,10,0,4.1,0,3,3,0.3,10,0,1,0.1,0,0.0,—,10,0,4,0.40,10,0,0,0.00
Donovan Newby,https://www.cbssports.com/college-basketball/players/3178451/donovan-newby/,G,NCWILM,35,35,32,14.4,143,371,38.5,77,218,35.3,141,158,89.2,35,35,32,17,77,94,2.7,35,35,123,3.5,54,1.5,2.3,35,35,42,1.20,35,35,3,0.10
Donovan Oday,https://www.cbssports.com/college-basketball/players/28956134/donovan-oday/,G,CSFULL,31,20,24.7,12.8,128,303,42.2,22,71,31.0,119,156,76.3,31,20,24.7,23,133,156,5.0,31,20,39,1.3,69,2.2,0.6,31,20,29,0.90,31,20,3,0.10
Donovan Raymond,https://www.cbssports.com/college-basketball/players/29232126/donovan-raymond/,F,ODU,20,0,7.3,1.9,15,29,51.7,0,0,—,8,16,50.0,20,0,7.3,13,21,34,1.7,20,0,10,0.5,4,0.2,2.5,20,0,1,0.10,20,0,1,0.10
Donovan Rivers,https://www.cbssports.com/college-basketball/players/29268972/donovan-rivers/,F,JVILLE,31,10,14.4,2.4,34,65,52.3,0,0,—,7,19,36.8,31,10,14.4,35,61,96,3.1,31,10,5,0.2,17,0.5,0.3,31,10,12,0.40,31,10,31,1.00
Donovan Sanders,https://www.cbssports.com/college-basketball/players/29241358/donovan-sanders/,G,MVSU,29,27,32.6,9.0,103,288,35.8,17,81,21.0,38,63,60.3,29,27,32.6,20,69,89,3.1,29,27,79,2.7,88,3.0,0.9,29,27,42,1.40,29,27,5,0.20
Donovan Santoro,https://www.cbssports.com/college-basketball/players/29231115/donovan-santoro/,F,WISGB,8,0,3.5,0.8,2,15,13.3,0,12,0.0,2,4,50.0,8,0,3.5,0,3,3,0.4,8,0,1,0.1,1,0.1,1.0,8,0,1,0.10,8,0,2,0.30
Donovan Williams,https://www.cbssports.com/college-basketball/players/3177933/donovan-williams/,G,WMICH,28,15,27.4,9.1,75,185,40.5,21,69,30.4,83,116,71.6,28,15,27.4,54,119,173,6.2,28,15,30,1.1,33,1.2,0.9,28,15,21,0.80,28,15,8,0.30
Dontae Horne,https://www.cbssports.com/college-basketball/players/29231799/dontae-horne/,G,GASOU,28,7,14.9,5.1,50,146,34.2,17,62,27.4,26,40,65.0,28,7,14.9,16,46,62,2.2,28,7,46,1.6,48,1.7,1.0,28,7,18,0.60,28,7,1,0.00
Dontae Walker,https://www.cbssports.com/college-basketball/players/29558655/dontae-walker/,G,NWST,4,0,7.5,0.0,0,8,0.0,0,3,0.0,0,2,0.0,4,0,7.5,2,2,4,1.0,4,0,1,0.3,0,0.0,—,4,0,2,0.50,4,0,0,0.00
Dontaie Allen,https://www.cbssports.com/college-basketball/players/3141626/dontaie-allen/,G,WYO,32,17,24,7.8,77,216,35.6,42,136,30.9,53,69,76.8,32,17,24,18,87,105,3.3,32,17,31,1.0,37,1.2,0.8,32,17,14,0.40,32,17,9,0.30
Donte Bacchus,https://www.cbssports.com/college-basketball/players/29556690/donte-bacchus/,F,NALAB,35,3,20,8.3,111,206,53.9,19,41,46.3,51,85,60.0,35,3,20,46,102,148,4.2,35,3,13,0.4,28,0.8,0.5,35,3,30,0.90,35,3,13,0.40
