name,profile,position,class,height,weight,high_school,hometown,rating,nil_value,status,last_team,new_team,ProfileURL,Position,Team,GP,GS,MPG,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,GP.1,GS.1,MPG.1,OREB,DREB,REB,RPG,GP.2,GS.2,AST,APG,TO,TOPG,A/TO,GP.3,GS.3,STL,SPG,GP.4,GS.4,BLK,BPG
Breon Pass,https://www.on3.com/db/breon-pass-14039/,PG,SR,6-0,175,Reidsville,"(Reidsville, NC)",,,Entered,NC State,,https://www.cbssports.com/college-basketball/players/26776334/breon-pass/,G,NCST,30,2,13.9,4.5,45,112,40.2,24,64,37.5,21,24,87.5,30,2,13.9,8,32,40,1.3,30,2,34,1.1,21,0.7,1.6,30,2,13,0.40,30,2,3,0.10
Brian Moore Jr.,https://www.on3.com/db/brian-moore-jr-241271/,PG,SR,6-1,185,Kingston,"(Harlem, NY)",92.80,,Committed,Norfolk State,Grand Canyon University Antelopes,https://www.cbssports.com/college-basketball/players/28954787/brian-moore-jr/,G,NORFLK,35,35,31.3,18.1,230,422,54.5,28,71,39.4,145,178,81.5,35,35,31.3,21,108,129,3.7,35,35,105,3.0,55,1.6,1.9,35,35,45,1.30,35,35,9,0.30
Brian Myles,https://www.on3.com/db/brian-myles-241430/,PF,SR,6-7,200,Legacy School of Sports Sciences,"(Shreveport, LA)",,,Entered,Nicholls State,,https://www.cbssports.com/college-basketball/players/26777378/brian-myles/,F,NICHST,4,3,15.5,7.5,12,23,52.2,4,10,40.0,2,4,50.0,4,3,15.5,5,9,14,3.5,4,3,4,1.0,2,0.5,2.0,4,3,1,0.30,4,3,1,0.30
Brian Taylor,https://www.on3.com/db/brian-taylor-14793/,PG,JR,6-3,170,DeSmet,"(Saint Louis, MO)",89.00,,Entered,SIU Edwardsville,,https://www.cbssports.com/college-basketball/players/28952060/brian-taylor-ii/,G,SIUE,34,34,31.2,11.9,146,301,48.5,40,89,44.9,73,100,73.0,34,34,31.2,28,110,138,4.1,34,34,98,2.9,71,2.1,1.4,34,34,28,0.80,34,34,7,0.20
Brian Waddell,https://www.on3.com/db/brian-waddell-146513/,SF,RS-JR,6-8,190,Carmel,"(Carmel, IN)",,,Entered,Purdue,,https://www.cbssports.com/college-basketball/players/26776115/brian-waddell/,F,PURDUE,9,0,4.4,2.0,6,10,60.0,3,4,75.0,3,4,75.0,9,0,4.4,0,7,7,0.8,9,0,4,0.4,5,0.6,0.8,9,0,1,0.10,9,0,0,0.00
Brock Felder,https://www.on3.com/db/brock-felder-250268/,PF,SO,6-8,,Parowan,"(Parowan, UT)",,,Entered,Southern Utah,,https://www.cbssports.com/college-basketball/players/29233215/brock-felder/,F,SUTAH,31,31,23.3,5.8,76,128,59.4,0,3,0.0,28,43,65.1,31,31,23.3,59,133,192,6.2,31,31,32,1.0,36,1.2,0.9,31,31,18,0.60,31,31,66,2.10
Brock Harding,https://www.on3.com/db/brock-harding-155479/,PG,SO,6-0,155,Moline,"(Moline, IL)",90.46,,Committed,Iowa,TCU Horned Frogs,https://www.cbssports.com/college-basketball/players/29231586/brock-harding/,G,IOWA,33,24,24.9,8.8,108,238,45.4,39,98,39.8,36,47,76.6,33,24,24.9,20,56,76,2.3,33,24,174,5.3,77,2.3,2.3,33,24,50,1.50,33,24,5,0.20
Bryce Ford,https://www.on3.com/db/bryce-ford-250234/,SG,SO,6-3,190,Pinnacle Charter,"(Scottsdale, AZ)",,,Entered,Toledo,,https://www.cbssports.com/college-basketball/players/29230815/bryce-ford/,G,TOLEDO,33,21,21.8,7.0,77,179,43.0,35,93,37.6,42,49,85.7,33,21,21.8,22,72,94,2.8,33,21,27,0.8,21,0.6,1.3,33,21,15,0.50,33,21,5,0.20
Bryce Harris,https://www.on3.com/db/bryce-harris-195583/,SG,SR,-,,Brentwood,"(Brentwood, NY)",,,Entered,Howard,,https://www.cbssports.com/college-basketball/players/26778728/bryce-harris/,G,HOW,7,7,24,9.6,27,63,42.9,5,19,26.3,8,17,47.1,7,7,24,15,28,43,6.1,7,7,8,1.1,17,2.4,0.5,7,7,4,0.60,7,7,3,0.40
Bryce Heard,https://www.on3.com/db/bryce-heard-158534/,SG,FR,6-5,170,Homewood-Flossmoor,"(Chicago, IL)",91.38,,Entered,NC State,,https://www.cbssports.com/college-basketball/players/29556249/bryce-heard/,G,NCST,24,0,6.4,1.2,7,22,31.8,2,10,20.0,12,18,66.7,24,0,6.4,4,16,20,0.8,24,0,7,0.3,3,0.1,2.3,24,0,5,0.20,24,0,0,0.00
