name,profile,position,class,height,weight,high_school,hometown,rating,nil_value,status,last_team,new_team
Nolan Dorsey,https://www.on3.com/db/nolan-dorsey-93862/,SG,RS-SR,6-6,180,Millbrook,"(Raleigh, NC)",90.00,,Entered,Campbell,California
John McCrear,https://www.on3.com/db/john-mccrear-156710/,PF,RS-FR,6-8,205,Woodford County,"(Lexington, KY)",,,Entered,Murray State,N/A
Elyjah Freeman,https://www.on3.com/db/elyjah-freeman-249483/,SF,FR,6-8,,Wellington,"(Palm Beach, FL)",93.89,,Entered,Lincoln Memorial,Auburn
Wes Enis,https://www.on3.com/db/wes-enis-250121/,PG,SO,6-2,200,Miami East,"(Conover, OH)",91.38,,Entered,Lincoln Memorial,USF
Tanahj Pettway,https://www.on3.com/db/tanahj-pettway-110014/,PG,SR,5-11,170,Putnam Science Academy,"(Putnam, CT)",86.00,,Entered,Prairie View A&M,N/A
Dominique Ford,https://www.on3.com/db/dominique-ford-222641/,SG,SR,6-5,,Desert Oasis,"(Las Vegas, NV)",87.50,,Entered,Southern Utah,N/A
Cade Haskins,https://www.on3.com/db/cade-haskins-16608/,SF,SR,6-6,180,DeLaSalle,"(Minneapolis, MN)",,,Entered,Dartmouth,N/A
Kaleb Brown,https://www.on3.com/db/kaleb-brown-70674/,PG,SR,6-6,250,Lee,"(Huntsville, AL)",86.00,,Entered,California State University Fullerton,N/A
Quimari Peterson,https://www.on3.com/db/quimari-peterson-97335/,PG,SR,6-1,155,West Side,"(Gary, IN)",93.89,,Entered,East Tennessee State,Washington
Obi Agbim,https://www.on3.com/db/obi-agbim-250091/,SG,SR,6-3,180,Rangeview,"(Aurora, CO)",95.32,,Entered,Wyoming,Baylor
Travis Gray,https://www.on3.com/db/travis-gray-250119/,SG,RS-JR,6-5,195,Henninger,"(Syracuse, NY)",,,Entered,FIU,N/A
Javon Jackson,https://www.on3.com/db/javon-jackson-241702/,PG,JR,6-3,190,C.E. King,"(Houston, TX)",87.00,,Entered,Illinois Chicago,Murray State
Sir Issac Herron,https://www.on3.com/db/sir-issac-herron-107627/,C,RS-JR,6-9,210,Legacy School of Sports Sciences,"(Spring, TX)",,,Entered,Oral Roberts,N/A
Pryce Sandfort,https://www.on3.com/db/pryce-sandfort-96986/,SF,SO,6-7,190,Waukee Northwest,"(Waukee, IA)",92.86,,Entered,Iowa,Illinois
Brock Harding,https://www.on3.com/db/brock-harding-155479/,PG,SO,6-0,155,Moline,"(Moline, IL)",90.46,,Entered,Iowa,TCU
Quandre Bullock,https://www.on3.com/db/quandre-bullock-173932/,SG,SR,6-6,195,Word Of God Christian Academy,"(Franklinton, NC)",88.00,,Entered,South Dakota,N/A
Cameron Tweedy,https://www.on3.com/db/cameron-tweedy-250124/,SF,SR,6-6,220,Westlake,"(Waldorf, MD)",,,Entered,Fairleigh Dickinson,N/A
Zine Bedri,https://www.on3.com/db/zine-bedri-250123/,C,JR,6-10,235,DME Academy,(Tebessa),87.00,,Entered,Columbia,N/A
Kenny Noland,https://www.on3.com/db/kenny-noland-250122/,SG,JR,6-2,180,The Hotchkiss School,"(Apex, NC)",88.00,,Entered,Columbia,N/A
Milos Ilic,https://www.on3.com/db/milos-ilic-200868/,PF,SR,6-10,235,Hoosac School,(Gornji Milanovac),89.95,,Entered,Loyola Maryland,California
Veljko Ilic,https://www.on3.com/db/veljko-ilic-200869/,C,SR,6-10,240,Hoosac School,(Gornji Milanovac),,,Entered,Loyola Maryland,N/A
Morrell Schramm,https://www.on3.com/db/morrell-schramm-250114/,SG,SR,6-3,220,Cleveland,"(Cleveland, TN)",,,Entered,Florida A&M,N/A
